from_code,from_lat,from_lng,from_name,name,number,rescheduled_date,rescheduled_time,time_diff,to_code,to_lat,to_lng,to_name
AGTL,23.8312377,91.2823821,AGARTALA,AGTL-HBJ EXP,01666,21-07-2018,19:15,05:15,HBJ,24.385837,91.4126358,HABIBGANJ
JBP,23.1608938,79.9497702,JABALPUR,JBP-CBE SF SPL,02198,21-07-2018,12:00,01:00,CBE,11.0018115,76.9628425,COIMBATORE JN
NZM,28.58886,77.253766,HAZRAT NIZAMUDDIN,NZM-NED,02486,21-07-2018,07:40,01:50,NED,18.916667,77.5,NANDED
CBE,11.0018115,76.9628425,COIMBATORE JN,LOKMANYA TT EXP,11014,21-07-2018,10:25,01:30,LTT,19.069143,72.8922731,LOKMANYATILAK
CSMT,19.0543469,72.8703314308,C SHIVAJI MAHARAJ T,CSTM-SUR SIDDHESWAR EXP.,12115,22-07-2018,01:00,02:15,SUR,17.6715272,75.8975502,SOLAPUR JN
LJN,26.8311093,80.9243976,LUCKNOWJN,LJN AF INTERCIT,12179,21-07-2018,16:55,01:00,AF,27.17982145,78.0211040669,AGRA FORT
AF,27.17982145,78.0211040669,AGRA FORT,LJN INTERCITY,12180,21-07-2018,06:50,01:00,LJN,26.8311093,80.9243976,LUCKNOWJN
HWH,22.5882216,88.323139,HOWRAH JN,HWH-PURI SHATABDI EXP,12277,21-07-2018,16:05,01:40,PURI,19.8150134,85.8351734912,PURI
NZM,28.58886,77.253766,HAZRAT NIZAMUDDIN,NZM RIG GONDWANA EXPRES,12410,21-07-2018,17:00,01:40,RIG,22.5,83.5,RAIGARH
PPTA,19.1302585,72.8252967553,PATLIPUTRA,PPTA LJN S F,12529,21-07-2018,20:00,04:10,LJN,26.8311093,80.9243976,LUCKNOWJN
LJN,26.8311093,80.9243976,LUCKNOWJN,LJN PPTA S F,12530,21-07-2018,06:00,01:00,PPTA,19.1302585,72.8252967553,PATLIPUTRA
CAPE,8.079252,77.5499338,KANYAKUMARI,CAPE-MS EXP.,12634,21-07-2018,19:15,01:55,MS,13.0783662,80.261168463,CHENNAI EGMORE
SBC,13.06178495,77.6102415504,KSR BENGALURU,SBC-MAS MAIL,12658,22-07-2018,05:00,06:20,MAS,13.081674,80.2755685,CHENNAI CENTRAL
ADI,23.0216238,72.5797068,AHMEDABAD JN,ADI-PURI S/F EXP.,12844,21-07-2018,19:40,01:00,PURI,19.8150134,85.8351734912,PURI
JP,26.916194,75.820349,JAIPUR,JP UDZ SF EXP,12992,21-07-2018,15:30,01:30,UDZ,24.5787228,73.6862551,UDAIPUR
BSB,25.3356491,83.0076292,VARANASI JN,BSB-SGRL INTERCITY EXP,13345,21-07-2018,18:10,04:00,SGRL,24.1974432,82.6661453,SINGRAULI
